name BSO CB CIB IC LI MSO OF SSO SA TC BW RGB T
0.jpg 0 0 0.0 1 0.0 0 0 0 0 0 0 1 1
1.jpg 0 0 0.0 0 0.0 0 0 1 0 0 0 1 1
2.jpg 0 1 0.0 0 0.0 1 0 0 1 0 0 1 1
3.jpg 1 1 0.0 0 1.0 0 0 0 0 0 0 0 1
4.jpg 0 0 0.0 0 0.0 1 0 1 0 0 0 1 1
5.jpg 1 1 1.0 0 0.0 1 0 0 0 0 0 1 1
6.jpg 0 1 1.0 0 0.0 0 0 1 0 0 0 1 1
7.jpg 1 0 0.0 0 1.0 0 0 0 0 0 0 0 1
8.jpg 1 1 1.0 1 0.0 0 0 0 0 1 0 1 0
9.jpg 1 0 0.0 0 1.0 0 0 0 0 1 0 1 0
10.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
11.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
12.jpg 0 0 0.0 0 0.0 1 0 0 0 0 0 1 1
13.jpg 1 0 0.0 0 0.0 0 0 0 0 1 0 1 0
14.jpg 0 0 0.0 1 0.0 0 0 0 0 0 0 1 1
15.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
16.jpg 0 1 0.0 0 0.0 0 0 0 0 1 0 1 0
17.jpg 1 0 0.0 0 0.0 0 0 0 0 1 0 1 0
18.jpg 1 1 1.0 1 0.0 0 0 0 0 0 0 1 1
19.jpg 0 0 0.0 0 0.0 1 0 1 0 1 0 1 0
20.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
21.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
22.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
23.jpg 0 0 0.0 0 0.0 0 1 0 0 0 0 0 1
24.jpg 0 0 0.0 1 0.0 0 0 0 0 0 0 1 1
25.jpg 1 0 0.0 0 1.0 0 1 0 1 1 0 0 0
26.jpg 0 1 0.0 0 0.0 1 0 0 0 0 0 1 1
27.jpg 1 1 0.0 1 0.0 0 0 0 0 0 0 1 1
28.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
29.jpg 0 0 0.0 0 1.0 0 1 0 0 0 0 0 1
30.jpg 1 0 1.0 0 0.0 0 0 0 0 0 0 1 1
31.jpg 0 0 0.0 0 0.0 0 0 0 0 1 0 1 0
32.jpg 1 1 0.0 1 0.0 0 0 0 0 0 0 1 1
33.jpg 1 1 0.0 1 0.0 0 0 0 0 0 0 1 1
34.jpg 1 1 0.0 0 0.0 1 0 0 0 0 0 1 1
35.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
36.jpg 0 0 0.0 0 1.0 0 1 0 0 0 0 0 1
37.jpg 1 1 0.0 0 1.0 0 0 0 0 0 0 1 1
38.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
39.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
40.jpg 0 0 0.0 0 0.0 0 0 1 0 1 0 1 0
41.jpg 1 0 1.0 0 1.0 0 0 0 0 0 1 1 1
42.jpg 0 0 0.0 0 1.0 0 0 0 0 1 0 0 0
43.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
44.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
45.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
46.jpg 0 1 0.0 0 0.0 0 0 1 0 0 0 1 1
47.jpg 1 0 0.0 1 0.0 0 0 0 0 1 0 1 0
48.jpg 0 1 0.0 0 0.0 0 1 0 0 0 0 1 1
49.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
50.jpg 1 0 1.0 1 0.0 0 0 0 0 0 0 1 1
51.jpg 0 0 0.0 0 0.0 0 1 0 0 0 1 1 1
52.jpg 1 0 0.0 0 1.0 0 1 0 0 0 1 0 1
53.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
54.jpg 0 1 0.0 0 0.0 0 0 1 0 1 0 1 0
55.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
56.jpg 1 0 1.0 0 0.0 0 0 0 0 0 0 1 1
57.jpg 1 1 0.0 1 0.0 1 0 0 0 0 0 1 1
58.jpg 1 1 0.0 1 0.0 1 0 0 0 0 0 1 1
59.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
60.jpg 1 0 1.0 1 0.0 0 0 0 0 0 0 1 1
61.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
62.jpg 1 0 1.0 0 1.0 0 0 0 0 1 0 1 1
63.jpg 0 0 0.0 1 0.0 0 0 1 0 1 0 1 0
64.jpg 1 1 0.0 0 0.0 1 0 0 0 0 0 1 1
65.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
66.jpg 0 0 0.0 0 0.0 0 0 0 0 1 0 1 0
67.jpg 1 1 1.0 1 0.0 0 0 0 0 0 0 1 1
68.jpg 1 0 1.0 1 0.0 0 0 0 0 0 0 1 1
69.jpg 0 1 1.0 1 0.0 0 0 0 0 0 0 1 0
70.jpg 0 1 0.0 0 0.0 0 0 0 0 1 0 1 0
71.jpg 1 1 0.0 1 0.0 0 0 0 0 0 0 1 0
72.jpg 0 0 0.0 1 0.0 0 0 0 0 1 0 1 0
73.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
74.jpg 0 1 1.0 0 0.0 0 0 0 0 0 0 1 1
75.jpg 0 0 0.0 0 1.0 0 0 0 0 0 0 0 1
76.jpg 1 1 0.0 0 0.0 1 0 0 0 0 0 1 1
77.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
78.jpg 1 0 0.0 0 0.0 1 0 0 0 0 0 1 1
79.jpg 1 1 0.0 0 1.0 0 0 0 0 0 0 1 1
80.jpg 0 1 0.0 1 0.0 0 0 0 0 0 0 1 0
81.jpg 0 0 0.0 0 0.0 0 0 1 0 1 0 1 0
82.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
83.jpg 0 1 0.0 0 0.0 0 0 0 0 0 0 1 1
84.jpg 1 0 0.0 0 0.0 0 1 0 0 0 0 1 1
85.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
86.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
87.jpg 1 0 0.0 1 0.0 0 1 0 0 0 0 1 1
88.jpg 0 1 0.0 0 0.0 0 0 1 0 0 0 1 1
89.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
90.jpg 1 1 0.0 0 0.0 0 0 0 0 1 0 1 0
91.jpg 0 1 0.0 1 0.0 0 0 0 0 0 0 1 1
92.jpg 0 0 0.0 0 0.0 0 0 1 0 0 0 1 1
93.jpg 1 1 0.0 1 0.0 0 0 0 0 0 1 1 1
94.jpg 0 0 0.0 1 0.0 0 1 1 0 0 0 1 1
95.jpg 0 0 0.0 1 0.0 0 1 1 0 0 0 1 1
96.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 0
97.jpg 0 1 0.0 0 0.0 0 0 0 0 0 0 1 1
98.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
99.jpg 1 1 0.0 0 0.0 0 0 0 0 0 0 1 1
100.jpg 1 1 0.0 0 0.0 1 0 0 0 1 0 1 0
101.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
102.jpg 1 0 0.0 0 1.0 1 0 0 0 0 0 1 1
103.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
104.jpg 0 1 0.0 0 0.0 0 0 0 0 0 0 1 1
105.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
106.jpg 1 0 0.0 1 0.0 0 0 0 0 0 0 1 1
107.jpg 1 1 1.0 1 0.0 1 0 0 0 1 0 1 0
108.jpg 1 0 0.0 0 0.0 0 0 0 0 1 0 1 0
109.jpg 1 1 1.0 0 0.0 0 0 0 0 0 0 1 1
110.jpg 0 0 0.0 0 0.0 0 0 0 0 0 0 1 1
111.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
112.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
113.jpg 1 0 0.0 1 0.0 0 0 0 0 1 0 1 0
114.jpg 1 1 0.0 1 0.0 1 0 0 0 1 0 1 0
115.jpg 1 1 1.0 0 0.0 0 0 0 0 0 0 1 1
116.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
117.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
118.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
119.jpg 0 1 0.0 1 0.0 0 0 0 0 0 0 1 1
120.jpg 1 0 0.0 0 1.0 0 0 0 0 0 0 0 1
121.jpg 1 0 0.0 0 0.0 0 0 0 0 0 0 1 1
